C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_31_857.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_31_857.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_31_857.jpg, 0, 0, 0, 7.891317E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_31_964.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_31_964.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_31_964.jpg, 0, 0, 0, 8.043969E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_32_071.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_32_071.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_32_071.jpg, 0, 0, 0, 7.968652E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_32_177.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_32_177.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_32_177.jpg, 0, 0, 0, 7.848466E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_32_284.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_32_284.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_32_284.jpg, 0, 0, 0, 8.189568E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_32_385.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_32_385.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_32_385.jpg, 0, 0, 0, 7.882105E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_32_486.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_32_486.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_32_486.jpg, 0, 0, 0, 7.824162E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_32_589.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_32_589.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_32_589.jpg, 0, 0, 0, 7.793756E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_32_693.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_32_693.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_32_693.jpg, 0, 0, 0, 7.978624E-05
C:\Users\aijav\Downloads\simulator-windows-64\IMG\center_2024_06_12_21_08_32_796.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\left_2024_06_12_21_08_32_796.jpg, C:\Users\aijav\Downloads\simulator-windows-64\IMG\right_2024_06_12_21_08_32_796.jpg, 0, 0, 0, 7.819745E-05
